,index,coordinates
343,1684,"(35.851030000000002, -78.643500000000003)"
344,1689,"(35.856580000000001, -78.712500000000006)"
345,1690,"(35.856859999999998, -78.712299999999999)"
346,1691,"(35.857349999999997, -78.643600000000006)"
347,1692,"(35.857439999999997, -78.606999999999999)"
348,1694,"(35.859070000000003, -78.680499999999995)"
349,1698,"(35.86177, -78.706599999999995)"
350,1699,"(35.862810000000003, -78.711799999999997)"
351,1700,"(35.864400000000003, -78.637500000000003)"
352,1701,"(35.866230000000002, -78.6023)"
353,1703,"(35.868290000000002, -78.620900000000006)"
354,1705,"(35.869540000000001, -78.555499999999995)"
355,1708,"(35.871519999999997, -78.551400000000001)"
356,1710,"(35.87388, -78.622799999999998)"
357,1711,"(35.874600000000001, -78.6922)"
358,1712,"(35.874839999999999, -78.623500000000007)"
359,1714,"(35.875630000000001, -78.6233)"
360,1716,"(35.878399999999999, -78.645600000000002)"
361,1720,"(35.883879999999998, -78.566699999999997)"
362,1723,"(35.888599999999997, -78.563199999999995)"
363,1724,"(35.891379999999998, -78.717699999999994)"
364,1727,"(35.893430000000002, -78.758200000000002)"
365,1728,"(35.893650000000001, -78.550799999999995)"
366,1730,"(35.894680000000001, -78.727199999999996)"
367,1733,"(35.897320000000001, -78.661199999999994)"
368,1735,"(35.900260000000003, -78.7821)"
369,1739,"(35.901389999999999, -78.655299999999997)"
370,1744,"(35.902389999999997, -78.657799999999995)"
371,1769,"(35.913899999999998, -78.781400000000005)"
372,1771,"(35.914720000000003, -78.778599999999997)"
373,1813,"(35.942799999999998, -78.558800000000005)"
374,1816,"(35.945569999999996, -78.556399999999996)"
375,1824,"(35.94764, -78.569199999999995)"
376,1416,"(35.72775, -78.565200000000004)"
377,1431,"(35.731059999999999, -78.651200000000003)"
378,1432,"(35.731250000000003, -78.627099999999999)"
379,1439,"(35.733600000000003, -78.627899999999997)"
380,1442,"(35.736649999999997, -78.608199999999997)"
381,1447,"(35.739789999999999, -78.635900000000007)"
382,1448,"(35.73986, -78.630799999999994)"
383,1455,"(35.74492, -78.677899999999994)"
384,1456,"(35.745139999999999, -78.648700000000005)"
385,1457,"(35.745229999999999, -78.688999999999993)"
386,1464,"(35.74729, -78.586200000000005)"
387,1465,"(35.747399999999999, -78.674400000000006)"
388,1466,"(35.747639999999997, -78.654899999999998)"
389,1467,"(35.747819999999997, -78.690700000000007)"
390,1469,"(35.74888, -78.649199999999993)"
391,1470,"(35.749029999999998, -78.632900000000006)"
392,1471,"(35.750239999999998, -78.648799999999994)"
393,1473,"(35.750770000000003, -78.611800000000002)"
394,1476,"(35.751690000000004, -78.649199999999993)"
395,1482,"(35.753529999999998, -78.644000000000005)"
396,1484,"(35.754109999999997, -78.612499999999997)"
397,1485,"(35.754159999999999, -78.613)"
398,1487,"(35.75441, -78.649199999999993)"
399,1488,"(35.754469999999998, -78.615099999999998)"
400,1489,"(35.754510000000003, -78.612799999999993)"
401,1490,"(35.754539999999999, -78.612399999999994)"
402,1491,"(35.754840000000002, -78.606800000000007)"
403,1498,"(35.759079999999997, -78.549899999999994)"
404,1502,"(35.760300000000001, -78.617000000000004)"
405,1503,"(35.760759999999998, -78.615499999999997)"
406,1505,"(35.760930000000002, -78.613600000000005)"
407,1507,"(35.761760000000002, -78.663200000000003)"
408,1509,"(35.76285, -78.614400000000003)"
409,1510,"(35.763530000000003, -78.7286)"
410,1512,"(35.763680000000001, -78.554699999999997)"
411,1513,"(35.765790000000003, -78.632999999999996)"
412,1514,"(35.765819999999998, -78.632900000000006)"
413,1515,"(35.766629999999999, -78.697299999999998)"
414,1516,"(35.767319999999998, -78.577299999999994)"
415,1517,"(35.767879999999998, -78.628200000000007)"
416,1518,"(35.768650000000001, -78.6143)"
417,1520,"(35.769269999999999, -78.586799999999997)"
418,1521,"(35.769280000000002, -78.644599999999997)"
419,1523,"(35.769399999999997, -78.635300000000001)"
420,1525,"(35.769660000000002, -78.659199999999998)"
421,1527,"(35.771079999999998, -78.647999999999996)"
422,1532,"(35.77234, -78.626900000000006)"
423,1533,"(35.773310000000002, -78.692300000000003)"
424,1534,"(35.773409999999998, -78.611699999999999)"
425,1537,"(35.77525, -78.628)"
426,1538,"(35.77608, -78.643799999999999)"
427,1541,"(35.776730000000001, -78.640100000000004)"
428,1542,"(35.776809999999998, -78.636600000000001)"
429,1543,"(35.776820000000001, -78.638400000000004)"
430,1544,"(35.776899999999998, -78.611699999999999)"
431,1545,"(35.776949999999999, -78.6982)"
432,1547,"(35.778280000000002, -78.640100000000004)"
433,1548,"(35.778350000000003, -78.638400000000004)"
434,1549,"(35.779020000000003, -78.617699999999999)"
435,1550,"(35.779449999999997, -78.622299999999996)"
436,1551,"(35.779580000000003, -78.613)"
437,1552,"(35.779969999999999, -78.602500000000006)"
438,1553,"(35.780450000000002, -78.622299999999996)"
439,1554,"(35.780560000000001, -78.622299999999996)"
440,1555,"(35.78058, -78.645799999999994)"
441,1557,"(35.780790000000003, -78.650499999999994)"
442,1558,"(35.781030000000001, -78.636399999999995)"
443,1559,"(35.781239999999997, -78.638199999999998)"
444,1560,"(35.781410000000001, -78.672399999999996)"
445,1561,"(35.782699999999998, -78.668499999999995)"
446,1562,"(35.782850000000003, -78.670900000000003)"
447,1564,"(35.783630000000002, -78.687100000000001)"
448,1565,"(35.784730000000003, -78.634500000000003)"
449,1566,"(35.784770000000002, -78.686999999999998)"
450,1567,"(35.784999999999997, -78.687200000000004)"
